Date	value
2003-07-31	108.54
2003-08-01	108.54
2003-08-02	108.54
2003-08-03	108.54
2003-08-04	108.54
2003-08-05	108.54
2003-08-06	108.54
2003-08-07	108.54
2003-08-08	108.54
2003-08-09	108.54
2003-08-10	108.54
2003-08-11	108.54
2003-08-12	108.54
2003-08-13	108.54
2003-08-14	108.54
2003-08-15	108.54
2003-08-16	108.54
2003-08-17	108.54
2003-08-18	108.54
2003-08-19	108.54
2003-08-20	108.54
2003-08-21	108.54
2003-08-22	108.54
2003-08-23	108.55
2003-08-24	108.69
2003-08-25	108.83
2003-08-26	108.91
2003-08-27	109.01
2003-08-28	108.98
2003-08-29	109.05
2003-08-30	109.05
2003-08-31	109.19
2003-09-01	109.36
2003-09-02	109.38
2003-09-03	109.32
2003-09-04	109.37
2003-09-05	109.51
2003-09-06	109.6
2003-09-07	109.71
2003-09-08	109.83
2003-09-09	109.83
2003-09-10	109.81
2003-09-11	109.84
2003-09-12	109.92
2003-09-13	110.8
2003-09-14	111.1
2003-09-15	111.12
2003-09-16	110.26
2003-09-17	109.98
2003-09-18	109.89
2003-09-19	109.93
2003-09-20	109.98
2003-09-21	110.02
2003-09-22	110.14
2003-09-23	110.97
2003-09-24	111.27
2003-09-25	111.44
2003-09-26	111.54
2003-09-27	111.64
2003-09-28	111.72
2003-09-29	111.77
2003-09-30	111.87
2003-10-01	111.92
2003-10-02	111.92
2003-10-03	111.93
2003-10-04	111.94
2003-10-05	111.95
2003-10-06	111.96
2003-10-07	111.99
2003-10-08	112.0
2003-10-09	112.01
2003-10-10	112.04
2003-10-11	112.08
2003-10-12	112.12
2003-10-13	112.13
2003-10-14	112.15
2003-10-15	112.16
2003-10-16	112.18
2003-10-17	112.21
2003-10-18	112.26
2003-10-19	112.32
2003-10-20	112.34
2003-10-21	112.25
2003-10-22	112.31
2003-10-23	112.31
2003-10-24	112.23
2003-10-25	112.22
2003-10-26	112.3
2003-10-27	112.3
2003-10-28	112.34
2003-10-29	112.39
2003-10-30	112.49
2003-10-31	112.79
2003-11-01	112.95
2003-11-02	113.01
2003-11-03	113.06
2003-11-04	113.09
2003-11-05	113.19
2003-11-06	113.24
2003-11-07	113.34
2003-11-08	113.4
