Date	value
2003-08-20	123.77
2003-09-16	124.79
2003-10-15	124.83
2003-11-17	125.8
2003-12-17	127.75
2004-01-21	135.93
2004-02-23	130.49
2004-03-18	128.49
2004-04-26	130.1
2004-05-17	128.77
2004-07-28	123.02
2004-08-23	124.87
2004-09-23	124.85
2004-10-19	125.85
2004-11-22	125.64
2004-12-13	125.48
2005-01-18	127.41
2005-02-14	127.29
2005-03-21	126.35
2005-04-25	127.8
2005-05-19	126.74
2005-06-29	123.94
2005-07-28	122.21
2005-08-23	122.04
2005-09-22	123.08
2005-10-21	123.17
2005-11-22	123.17
2005-12-13	124.95
2006-01-12	128.93
2006-02-14	127.06
2006-03-16	135.54
2006-04-19	132.08
2006-05-12	128.77
2006-06-21	123.39
2006-07-21	123.04
2006-08-29	124.46
2006-09-18	125.43
2006-10-23	125.4
2006-11-28	126.57
2006-12-11	129.97
2007-01-30	131.2
2007-02-19	132.95
2007-03-26	132.81
2007-04-25	129.58
2007-05-23	128.85
2007-06-18	129.01
2007-07-23	125.89
2007-08-27	125.47
2007-09-12	125.97
2007-10-22	125.91
2007-11-20	125.59
2007-12-17	129.24
2008-01-29	130.97
2008-02-25	128.92
2008-04-01	129.92
2008-04-28	129.95
2008-05-28	129.22
2008-06-24	129.5
2008-07-28	126.62
2008-08-25	126.14
2008-09-16	127.46
2008-10-13	126.94
2008-11-17	129.23
2008-12-18	132.19
2009-01-28	135.61
2009-02-16	131.37
2009-03-16	128.69
2009-04-22	128.44
2009-05-19	133.93
2009-06-16	129.35
2009-07-23	123.6
2009-08-19	125.48
2009-09-21	124.58
2009-10-23	124.47
2009-11-23	127.54
2009-12-15	130.09
2010-01-25	132.21
2010-02-22	131.67
2010-04-01	129.48
2010-04-02	129.94
2010-04-03	130.38
2010-04-04	130.57
2010-04-05	130.67
2010-04-06	130.93
2010-04-07	131.08
2010-04-08	130.95
2010-04-09	130.84
2010-04-10	130.73
2010-04-11	130.67
2010-04-12	130.59
2010-04-13	130.45
2010-04-14	130.31
2010-04-15	130.2
